dia,fecha,bnn,garch,buyhold
0,2018,0.9833777232990022,0.9789815113651128,0.9891156244125698
1,2018,0.9833777232990022,1.0039502215170146,1.0020408305594872
2,2018,0.9806595110200574,1.0006644657855044,1.0003401113949968
3,2018,1.0009693660040853,1.0267559992444133,1.0136054289369112
4,2018,0.988355904547725,1.0107621823359292,1.0054421877937152
5,2018,0.988355904547725,1.0161086815737777,1.0081632411431962
6,2018,0.9631780209653553,0.9845463384141692,0.9921768702518009
7,2018,0.9631780209653553,0.9578553574871109,0.9782312488251399
8,2018,0.9631780209653553,0.9425352450377043,0.9700680076819439
9,2018,0.9866314566491582,0.9702168077349308,0.9846938518985985
10,2018,0.9755239164359362,0.956791478690865,0.9775510260351462
11,2018,0.9755239164359362,0.9839381784238632,0.9918366777620508
12,2018,0.9267266917175254,0.9248316515863848,0.9602040473742574
13,2018,0.9126438330472676,0.9088149668842181,0.9506802795563208
14,2018,0.9126438330472676,0.8956323338746668,0.9428571498081217
15,2018,0.9126438330472676,0.8979445024226527,0.9442176764828621
16,2018,0.9126438330472676,0.9144795048664964,0.9537414443007985
17,2018,0.9126438330472676,0.9288567277637869,0.9619047665387477
18,2018,0.9126438330472676,0.9294632841241408,0.9622448779337445
19,2018,0.9126438330472676,0.9220850170654509,0.95816321681477
20,2018,0.9126438330472676,0.8912611494988125,0.9411564306436312
21,2018,0.936439297531654,0.9196757194674247,0.9571428015350263
22,2018,0.936439297531654,0.9925033426705282,0.9976190580455158
23,2018,0.936439297531654,0.9788498185844345,0.9891156244125697
24,2018,0.936439297531654,1.0167581378726365,1.0122449022621705
25,2018,0.936439297531654,1.0173090486354945,1.012585013657167
26,2018,0.936439297531654,1.0518795062109338,1.0333333495522836
27,2018,0.936439297531654,1.076828840229764,1.0482993051639353
28,2018,0.936439297531654,1.04211177290594,1.0275509692688187
29,2018,0.936439297531654,1.061782984378679,1.0394557601359924
30,2018,0.936439297531654,1.0345374401793421,1.0231291967548473
31,2018,0.936439297531654,1.083613285927456,1.0523809662829098
32,2018,0.936439297531654,1.1238040495301835,1.0768706897124978
33,2018,0.936439297531654,1.1594442414537045,1.098639440887358
34,2018,0.936439297531654,1.1234122578017725,1.076530578317501
35,2018,0.936439297531654,1.1113751740452453,1.0690475599642986
36,2018,0.936439297531654,1.1812269019582975,1.1112244545445253
37,2018,0.936439297531654,1.1806986975654539,1.1108843431495286
38,2018,0.936439297531654,1.190462725982129,1.117006753733237
39,2018,0.936439297531654,1.1561918980685983,1.0959183064431237
40,2018,0.936439297531654,1.1228494454142868,1.0751700516427602
41,2018,0.936439297531654,1.1671480944701418,1.1027211020063323
42,2018,0.936439297531654,1.1655263583714544,1.1017006867265888
43,2018,0.936439297531654,1.210679682350754,1.1292516559954076
44,2018,0.936439297531654,1.1440008701116695,1.0877550652999277
45,2018,0.936439297531654,1.1705305566532478,1.1054421553558134
46,2018,0.936439297531654,1.1129942553514234,1.067346921894561
47,2018,0.936439297531654,1.1492481526027336,1.092516949208896
48,2018,0.936439297531654,1.1267183145305313,1.0768706897124976
49,2018,0.936439297531654,1.1446210345502374,1.0891155919746682
50,2018,0.936439297531654,1.1359898590228967,1.0833332927859562
51,2018,0.936439297531654,1.1359898590228967,1.0833332927859562
52,2018,0.936439297531654,1.1370562439074436,1.0840135966707032
53,2018,0.936439297531654,1.1777453192782388,1.109183623985038
54,2018,0.936439297531654,1.164639128988938,1.1010203828418421
55,2018,0.936439297531654,1.190885535812234,1.117006753733237
56,2018,1.0432490015261604,1.3548249978829692,1.213265252666111
57,2018,1.0432490015261604,1.3496465144012653,1.2091836726418896
58,2018,1.0432490015261604,1.3496465144012653,1.2091836726418896
59,2018,1.0381617595759665,1.3441304773522198,1.2051020115229152
60,2018,1.0381617595759665,1.4279975621780943,1.2649659961590274
61,2018,1.0381617595759665,1.458923629346279,1.288435385403625
62,2018,1.0381617595759665,1.6031227073203287,1.3948978749444292
63,2018,1.0381617595759665,1.8886103250613608,1.6452380268868025
64,2018,1.0381617595759665,1.683128716618379,1.3734693973540721
65,2018,1.0381617595759665,1.7306994044816872,1.4530611404160512
66,2018,1.0381617595759665,1.8159324330040028,1.5986393597926043
67,2018,1.0381617595759665,1.7820131966551922,1.5384352637614953
68,2018,1.0381617595759665,1.7676047885065427,1.5139456214266604
69,2018,1.0381617595759665,1.7375278936498542,1.465306123772975
70,2018,1.0381617595759665,1.7243662962124857,1.4448979803676085
71,2018,1.0381617595759665,1.727564243761081,1.4496598642765766
72,2018,1.0381617595759665,1.8328751913317907,1.6037415172860754
73,2018,1.0381617595759665,1.8179648966112274,1.5802720469467249
