dia,realizada,garch,bnn
0,1.0851697996258736,1.2294632382690907,1.1923454701900482
1,1.0903967544436455,1.2186931446194649,1.2801796197891235
2,1.0102535597980022,1.2091959826648235,1.2090601958334446
3,1.048778835684061,1.1951751075685024,1.2365677393972874
4,1.0228447616100311,1.186845451593399,1.234477013349533
5,1.0587612725794315,1.1804263293743134,1.2256273068487644
6,1.0925618559122086,1.1727345176041128,1.2252282164990902
7,1.0937144793570042,1.1679606512188911,1.2216408550739288
8,1.0580302216112614,1.1636522226035595,1.222857292741537
9,1.1088894493877888,1.157251037657261,1.2153725512325764
10,1.2059126794338226,1.1555715650320053,1.2138482928276062
11,1.1643470264971256,1.1625303514301777,1.20967373251915
12,1.1602337658405304,1.1659106984734535,1.2097803317010405
13,1.1646606959402561,1.168917678296566,1.2112456001341343
14,1.1086686328053474,1.171717755496502,1.2180810049176216
15,1.1083732545375824,1.169899869710207,1.2198461778461935
16,1.1237651482224464,1.1697775125503542,1.2175392545759678
17,1.1230891942977907,1.1710858158767223,1.2177019752562046
18,1.153982076793909,1.172233298420906,1.2174266949296
19,1.291932612657547,1.1765703745186329,1.2174349650740626
20,1.2031519412994387,1.1934783309698107,1.2190071120858192
21,1.2568798661231995,1.1997302994132044,1.2276598997414112
22,1.4257224649190903,1.210571639239788,1.2251010909676552
23,1.3886313140392303,1.2385505810379982,1.2295560911297798
24,1.3413042388856413,1.260811518877745,1.2426865473389626
25,1.376754976809025,1.2767589651048186,1.243679691106081
26,1.35620703920722,1.2935792095959189,1.2530027329921722
27,1.4203161559998991,1.3058201223611832,1.2620262615382671
28,1.436125487089157,1.3226850144565105,1.2629878148436546
29,1.3518193550407887,1.3390858471393585,1.260504499077797
30,1.335895024240017,1.3464479334652424,1.2705287523567679
31,1.3223297894001007,1.3520172610878944,1.2761412933468819
32,1.090083830058575,1.35605463758111,1.2919612415134907
33,1.0880731604993346,1.3361292891204357,1.3043926469981673
34,1.2852587364614012,1.3180954940617087,1.300727725028992
35,1.2811637111008167,1.3228458724915984,1.305974964052439
36,1.4020906202495098,1.3275497220456602,1.3135992921888828
37,1.4007105305790901,1.3431456126272678,1.3051546923816204
38,1.4353234134614468,1.3576150685548782,1.3040542975068092
39,1.269116997718811,1.3729240745306015,1.326339188963175
40,1.308449748903513,1.3681855611503124,1.3297698087990286
41,1.1852300725877285,1.36620681732893,1.3113834522664547
42,1.1849722266197205,1.3529433868825436,1.3155125454068184
43,1.2517834268510342,1.3405990041792393,1.3153375685214996
44,1.2187359482049944,1.3354406133294106,1.317803803831339
45,1.1660868860781195,1.3279679417610168,1.3243022561073303
46,1.191371288150549,1.3171941041946411,1.342420857399702
47,1.1918365582823753,1.3093522749841213,1.3491571694612503
48,1.1284701712429523,1.302088238298893,1.354467235505581
49,1.1429591290652752,1.2896200455725193,1.3361020386219025
50,1.230869833379984,1.2787784077227118,1.3227961212396622
51,1.2412303499877453,1.2776622734963894,1.3279439508914948
52,1.2867873907089233,1.2787004746496677,1.318613886833191
53,1.2341130338609219,1.2837051786482334,1.30990095436573
54,1.294056475162506,1.2845873832702637,1.3145112246274948
55,1.3558745943009856,1.2903214432299137,1.3140259869396687
56,1.2918487749993803,1.3007169216871262,1.3070222921669485
57,1.2463509105145931,1.304243691265583,1.309959851205349
58,1.2564068473875523,1.3034619949758053,1.312880478799343
59,1.321602538228035,1.3032606057822704,1.3115503080189228
60,1.1668290570378304,1.3115422800183296,1.3101750425994396
61,1.2727554328739643,1.3048726692795756,1.3028101064264777
62,1.2980668433010578,1.3075361587107182,1.2905175983905792
63,1.3142011873424053,1.312224194407463,1.2910506129264832
64,1.356761697679758,1.3176310993731022,1.2957006692886353
65,1.4515311643481255,1.3256418891251087,1.2935886159539223
66,1.3556113466620445,1.3404453173279762,1.294194720685482
67,1.407209299504757,1.3464181683957577,1.31387609988451
68,1.401719842106104,1.355306450277567,1.3203636929392815
69,1.3272922858595848,1.363693531602621,1.3196261785924435
70,1.228485591709614,1.3642500340938568,1.3274272345006466
71,1.3029978424310686,1.357347872108221,1.323828138411045
72,1.2301653809845448,1.3564013317227364,1.3150233030319214
73,1.2637346796691418,1.3501400500535963,1.3270198740065098
74,1.283460222184658,1.3472706265747547,1.3266597874462605
75,1.308734863996506,1.346888914704323,1.326733808964491
76,1.2477214448153975,1.3485851883888245,1.325346939265728
