dia,bnn,garch,buyhold
0,1.0048268704508228,1.0035338730207701,1.0042230743526424
1,1.0048268704508228,1.0072246014558037,1.0085979384725823
2,1.0064537862442304,1.0084561285402058,1.0100470169225373
3,1.0029543983557512,1.005714647222173,1.0068590106390138
4,1.0053366939464328,1.007591136876737,1.0090257632384558
5,1.0127091865710556,1.0133208090983548,1.0155811943428745
6,1.0153571125201903,1.0154144848948181,1.0179825387857813
7,1.014432893484,1.014686166484276,1.0171545180241084
8,1.0222429028514701,1.0209798549221205,1.024248120506587
9,1.025004521822671,1.023158758766717,1.026718536874679
10,1.0231485737218817,1.0216865206771355,1.025062411117278
11,1.0325471507660768,1.0290732452611702,1.0333153269001538
12,1.0454466113348142,1.0391989577561527,1.0447701475856455
13,1.0437880364259182,1.037930127771638,1.0432934403656162
14,1.0437880364259182,1.0367802925888203,1.0419685229128843
15,1.0437880364259182,1.03922236548355,1.0447563332006085
16,1.0430848959998396,1.0386618681976902,1.044121461127289
17,1.0303301967752605,1.028480136500308,1.0326943534459267
18,1.0253692117833515,1.0247017707065398,1.0283055907068948
19,1.0242609123316417,1.0238428080762965,1.027311965792887
20,1.0169157774572293,1.0180798138868075,1.0207150915333572
21,1.0324133585197488,1.0302537252731665,1.03473686081409
22,1.0290180950742038,1.0277093305513119,1.03167301552779
23,1.0290180950742038,1.0198197165706258,1.022274600829554
24,1.011084914026558,1.006748089567489,1.0065001735642707
25,1.0100811197173738,1.0060347114711086,1.0055893507264304
26,1.0100811197173738,0.9976047817362412,0.99501780834276
27,1.0100811197173738,1.0030845705833735,1.0020010642130526
28,1.0100811197173738,1.0090666095787528,1.00959156338659
29,1.0100811197173738,1.0245418243940887,1.0292164977787903
30,1.0146855663323242,1.0276836567031407,1.0335085598225628
31,1.0146855663323242,1.0256794376395457,1.0308173659960431
32,1.0146855663323242,1.0299768652363686,1.0364896030326958
33,1.0146855663323242,1.0350407577212677,1.0431002074432079
34,1.0146855663323242,1.0360746747760634,1.0444388550469215
35,1.0146855663323242,1.0328848956041647,1.0403813848466137
36,1.0146855663323242,1.01846697601218,1.022288415214591
37,1.0093632775152743,1.0146245914870498,1.0171407036390714
38,1.0093632775152743,1.0261045417954646,1.0323493307562208
39,1.0093632775152743,1.025721319470868,1.0318248895291429
40,1.0093632775152743,1.03146043131023,1.0395257353148668
41,1.0093632775152743,1.0264652563276244,1.0328736877492437
42,1.0182954966770787,1.0331878410386854,1.041761475605439
43,1.0182954966770787,1.0380445485858076,1.0481789313275973
44,1.0182954966770787,1.0380551057392489,1.0481927457126343
45,1.0314126899855363,1.0480830363401141,1.0610965606140261
46,1.0314126899855363,1.0463384000272145,1.0588056470173608
47,1.0314126899855363,1.0490624588911879,1.0623248616055536
48,1.0314126899855363,1.056016143754316,1.0711850206916746
49,1.0314126899855363,1.0565894384482468,1.0719165092261984
50,1.0314126899855363,1.0632027904767885,1.0802245983151675
51,1.036276120704428,1.067056208632421,1.085068730356092
52,1.0242194769715116,1.0574296664702223,1.0731033670626147
53,1.0242194769715116,1.0497743755454159,1.0633875584447463
54,1.0165280232263034,1.0438361762334676,1.0557970592712087
55,1.0165280232263034,1.0438361762334676,1.0557970592712087
56,1.0267967743823319,1.0520521836357648,1.0661201111923222
57,1.0267967743823319,1.064733127014369,1.0822257467622747
58,1.0267967743823319,1.0668073332191963,1.0849721138948876
59,1.0267967743823319,1.0674115945275786,1.0857587757355045
60,1.0267967743823319,1.0701395928990347,1.0892504457876782
61,1.0119700141730876,1.0581179479495064,1.0740970762106772
62,1.014555019765187,1.0600857241731336,1.0766778391909557
63,1.014555019765187,1.0701420169649023,1.0896644561685147
64,1.0087629429076783,1.0658099036813835,1.083964674595843
65,1.0143516840934068,1.0702152475839726,1.089705899323626
66,1.0316277013523851,1.084297674746852,1.1078954854168532
67,1.0440988071974648,1.0934717415925033,1.1203852899374085
68,1.0440988071974648,1.0901171353760926,1.1157757497399488
69,1.0440988071974648,1.0980739888270508,1.1265542551970098
70,1.0391390636838997,1.0942105222687417,1.1213099271602858
71,1.0264628518913397,1.0842124934988469,1.1079368443379092
72,1.0250933228359045,1.083169020315955,1.1065153946580282
73,1.0365359355708512,1.0919459517016514,1.1182599804930777
74,1.03887791076233,1.093735734109115,1.1206751393210215
75,1.03887791076233,1.087117250762338,1.1119115124620498
76,1.03887791076233,1.0760297602459141,1.0972687697270895
77,1.033104905932569,1.0717067870271733,1.0914033840020834
78,1.039306112298998,1.0763255754465202,1.0975999780317587
79,1.0334381151271117,1.0717858044994888,1.091582802539455
80,1.0478965879175104,1.0833764643866233,1.1068189741926233
81,1.0478965879175104,1.0798769944696986,1.10208527299794
82,1.0566240016537372,1.0865044379927031,1.110931617699024
83,1.0684865512787403,1.0954967293471098,1.1229108796115939
84,1.065371129254836,1.0931255567479383,1.1197228733280704
85,1.0558784073602525,1.0857304700169814,1.1099518071700538
86,1.0558784073602525,1.0703907084204964,1.0896644561685151
87,1.0558784073602525,1.0739168421076661,1.0946465635917002
88,1.0558784073602525,1.0764400160649163,1.0981520480289109
89,1.0478866415421435,1.0703111989758545,1.0898024315507755
90,1.0478866415421435,1.0663488373508776,1.0844339425168281
91,1.0436000265821972,1.063127501994614,1.0801280660880184
92,1.0456319854857528,1.0646459825952916,1.0821291303010707
93,1.054981101801522,1.0718753707999784,1.0915000004632878
94,1.0524642293179949,1.0699400064969726,1.0889882251741396
95,1.054453824595581,1.0714838963101427,1.0909617448511728
96,1.054453824595581,1.0532216191162371,1.0680246431782257
97,1.0302539672201736,1.0365432700496142,1.0448943085828695
98,1.0302539672201736,1.038853907806582,1.0483721642500063
99,1.0302539672201736,1.029894667207241,1.0352198588860575
100,1.0302539672201736,1.0300904323816698,1.0355097082696705
101,1.0302539672201736,1.0373204884638392,1.0459708198070996
102,1.0362572907478318,1.0413620624666435,1.0518085767620318
103,1.0362572907478318,1.045236111690872,1.0573151254122948
104,1.0362572907478318,1.0397812080755384,1.049696997468683
105,1.0330827762917767,1.0375266989747856,1.0465780631103447
106,1.0039632816878858,1.0164203146005295,1.0180239819408932
107,1.0126390862578039,1.0218088592720822,1.0264148731060296
108,1.0126390862578039,1.0316650324039525,1.0415820570680678
109,1.0126390862578039,1.039444041616907,1.053740737518009
110,1.0126390862578039,1.0378864685102536,1.0513117643050283
111,1.0126390862578039,1.0420309810401256,1.0576187891809452
112,1.0126390862578039,1.036509116203473,1.0493796035490512
113,1.0126390862578039,1.0497996169563455,1.0690320824772708
114,1.0126390862578039,1.0489323662076895,1.067693434873557
115,1.0126390862578039,1.0466748511335748,1.0642983812825875
116,1.0126390862578039,1.0412149611598223,1.0562800573431763
117,1.0126390862578039,1.0484189576359946,1.0667549832656424
118,1.0126390862578039,1.0684151044218695,1.0958610501981911
119,1.0126390862578039,1.074569016831331,1.1059219657398207
120,1.0126390862578039,1.0721644309924079,1.1020439140768847
