dia,epistemica,aleatoria
0,0.00058741943,0.008461792
1,0.00088705344,0.009760326
2,0.0005960388,0.008700503
3,0.0005856747,0.009100013
4,0.00059761887,0.009069589
5,0.0005892053,0.008677859
6,0.0006035836,0.009036358
7,0.0005466249,0.008819569
8,0.0006021679,0.009071091
9,0.0006025007,0.008808467
10,0.00053407444,0.008764111
11,0.00055325346,0.008495467
12,0.00056678854,0.008710094
13,0.0005751359,0.008766799
14,0.0006021754,0.008816165
15,0.0006092981,0.008871821
16,0.00057260494,0.008988161
17,0.000584295,0.008837859
18,0.00059888256,0.008601781
19,0.0005846299,0.008827521
20,0.0005503207,0.008850497
21,0.0005827432,0.008988995
22,0.00059279747,0.0089522675
23,0.0008205169,0.009237021
24,0.0005659598,0.008642877
25,0.00059212896,0.009177245
26,0.0009478338,0.009983513
27,0.00068373955,0.009027065
28,0.0007772589,0.009938307
29,0.0006332381,0.009302724
30,0.0006204797,0.009248996
31,0.000815168,0.009789332
32,0.0006461282,0.009774489
33,0.000727377,0.010372509
34,0.00088895514,0.010521773
35,0.0007564392,0.010196125
36,0.00075867295,0.009510567
37,0.0005926137,0.010177039
38,0.0012069443,0.010994103
39,0.00088046334,0.009865425
40,0.0007299007,0.010110057
41,0.0009349722,0.011262416
42,0.0006655453,0.010446989
43,0.0006811724,0.009544433
44,0.00069450814,0.010178494
45,0.00054147514,0.010092325
46,0.0010036248,0.011466839
47,0.00097532384,0.010973121
48,0.001091754,0.010968272
49,0.0007511772,0.010710055
50,0.0007641118,0.010512467
51,0.00062349596,0.009992797
52,0.0006769294,0.009918175
53,0.0009291018,0.011381799
54,0.00059091486,0.0099755945
55,0.00081780826,0.009837365
56,0.00063527504,0.010351248
57,0.000703665,0.009881648
58,0.0008700289,0.010812198
59,0.00081110385,0.010208264
60,0.0008897932,0.010063772
61,0.00054460927,0.010245409
62,0.00058382354,0.009773862
63,0.0009533131,0.010233353
64,0.00065014506,0.009270163
65,0.00059106544,0.0100972345
66,0.00066682085,0.010613784
67,0.00066204567,0.009615444
68,0.00072942965,0.010274112
69,0.0008601262,0.010792484
70,0.00065679126,0.010607137
71,0.000662164,0.010555231
72,0.00048386527,0.010210151
73,0.000659177,0.009993371
74,0.0005423315,0.010092064
75,0.0007099726,0.011581511
76,0.00080778345,0.01053034
77,0.00048017863,0.010215854
78,0.00058394246,0.0098851975
79,0.0006766166,0.010412666
80,0.00057867094,0.010992445
81,0.00076809135,0.01117489
82,0.0005223594,0.010261177
83,0.00067125325,0.0101952795
84,0.0005199608,0.010469192
85,0.0006561445,0.010592592
86,0.000974404,0.0126111135
87,0.00070153776,0.01111651
88,0.00097276206,0.010203828
89,0.0006425886,0.01114617
90,0.0008385243,0.011705605
91,0.0005460738,0.010403532
92,0.00064840005,0.010001805
93,0.00060302607,0.010363453
94,0.0004890011,0.010273614
95,0.00054036407,0.010150285
96,0.0007935551,0.010937625
97,0.0005871428,0.0098228585
98,0.0011942716,0.012077573
99,0.00077876076,0.009762511
100,0.000997724,0.011530823
101,0.0010007673,0.011778259
102,0.00065920607,0.010136637
103,0.0008786776,0.011060845
104,0.0007385838,0.010179591
105,0.00063266867,0.010389979
106,0.0006573526,0.010339729
107,0.00067812466,0.010054088
108,0.0015873526,0.011975592
109,0.001233509,0.011849149
110,0.0008062298,0.011243513
111,0.0015400865,0.013311039
112,0.0007698908,0.011157998
113,0.00088269537,0.011337204
114,0.0011980302,0.011959907
115,0.0016198662,0.012974011
116,0.0017307864,0.013426652
117,0.00078363845,0.010312857
118,0.00094615814,0.011037134
119,0.0012177717,0.012237907
120,0.0018940642,0.013646812
121,0.0014743612,0.013456296
122,0.0008727532,0.011005984
123,0.0021356659,0.0147685455
124,0.0022850344,0.015343185
125,0.0018654572,0.016382061
126,0.0017485563,0.0149574075
127,0.0018675837,0.014125783
128,0.0011788728,0.01208344
129,0.0014214183,0.013899133
130,0.00095818785,0.01211261
131,0.0010192883,0.012090231
