dia,fecha,bnn,garch,buyhold
0,2018,1.0130988243679417,1.0132341282532185,1.012273607615463
1,2018,1.0130988243679417,1.0062027304815186,1.0058374405612933
2,2018,1.0103838659772681,1.003538468453229,1.0034426487851893
3,2018,1.0103838659772681,0.969100275983395,0.9730579929929701
4,2018,1.0103838659772681,0.9763714763798079,0.9797934661958771
5,2018,1.0103838659772681,0.9837883380308792,0.9865290535941862
6,2018,1.0103838659772681,0.9925276720109302,0.9943122696107763
7,2018,1.0103838659772681,1.0082797120489932,1.0080826363607296
8,2018,1.0189267179042094,1.0170935450607155,1.015716256400652
9,2018,1.0184079609753849,1.0165661696971369,1.0152672400798453
10,2018,1.033703230836468,1.0325462419718976,1.0285885905089915
11,2018,1.0364865528087093,1.0352613438363165,1.030833786308428
12,2018,1.0309604092375075,1.028990972590959,1.0257446682166789
13,2018,1.0478994566815538,1.047382342118814,1.040413181803648
14,2018,1.061060982171294,1.0613356121272817,1.051489336433358
15,2018,1.0527495449757325,1.0527687324346728,1.044753863230451
16,2018,1.0540663383731057,1.0541187264102383,1.0458016060441342
17,2018,1.0321773920986914,1.0316011150705389,1.0285885905089918
18,2018,1.0148033434569288,1.013277200983411,1.0143690932428295
19,2018,1.014455092386382,1.012893053430068,1.0140697870940925
20,2018,1.0105218490653451,1.00879046253854,1.0109265586530423
21,2018,1.04297930707784,1.0428458333700952,1.0365215166976516
22,2018,1.0646762787145196,1.0643855318425843,1.0532855159119872
23,2018,1.0324087622783387,1.0303488098887807,1.0266427008582926
24,2018,1.0399523860147653,1.0376662158109236,1.0326298515916554
25,2018,1.0384987226114137,1.036177680612008,1.0314325128013044
26,2018,1.0560823051881492,1.054021001173908,1.0455021856999949
27,2018,1.0800426563846706,1.0782911717731831,1.064511380713767
28,2018,1.0739252551234961,1.0722233646003474,1.0597216829661569
29,2018,1.0735689184702095,1.0718381757381228,1.0594222626220178
30,2018,1.0983947805298793,1.097383212215335,1.0788804739565967
31,2018,1.102260158790051,1.1012773759765047,1.0818739922255771
32,2018,1.0889135346342445,1.0872308294684312,1.071246853916674
33,2018,1.0989000544443108,1.0981820154314055,1.079479200449473
34,2018,1.1202157475597232,1.1210312659801935,1.0963927956404764
35,2018,1.1583614334216676,1.162522969783694,1.127076871776835
36,2018,1.1570426996601162,1.1611718063998706,1.1260291289631514
37,2018,1.1786839153327902,1.1844100623379004,1.1436911608191007
38,2018,1.1387318573242393,1.1436369939230724,1.1125580683619354
39,2018,1.1389110164128742,1.1438226005625918,1.1127076643386031
40,2018,1.1389110164128742,1.1428761783499932,1.111959341869059
41,2018,1.1510279245579866,1.1558108258167517,1.1219877536850855
42,2018,1.1510279245579866,1.1209218579344633,1.0951953426547234
43,2018,1.1510279245579866,1.0798059289480793,1.0622661849143304
44,2018,1.1510279245579866,1.086313179779674,1.0678042051314847
45,2018,1.1595360059910944,1.0942051088273443,1.074390082357724
46,2018,1.1623000613687542,1.096761964053167,1.0764855679850904
47,2018,1.1623000613687542,1.0564879040503576,1.0440054265655045
48,2018,1.1623000613687542,1.0373077073281132,1.0275408476953083
49,2018,1.1623000613687542,1.0455006605264388,1.0345757412423546
50,2018,1.1623000613687542,1.046387956870892,1.0353240637118988
51,2018,1.1060179874395248,0.996969531893259,0.9943122696107765
52,2018,1.1137685464584368,1.003296541471123,1.0001497101720696
53,2018,1.1137685464584368,1.0117432414351295,1.0077833302119923
54,2018,1.1137685464584368,1.0161302355230077,1.0116748811225864
55,2018,1.1137685464584368,1.0066629907819213,1.0034426487851893
56,2018,1.1137685464584368,0.9916598029553217,0.9905703146768499
57,2018,1.1137685464584368,0.9764159161565835,0.9775482703964408
58,2018,1.1137685464584368,0.9479688499159833,0.953300418411953
59,2018,1.1137685464584368,0.9386199567775635,0.9450681289768549
60,2018,1.1137685464584368,0.9379305452325085,0.9444694024839784
61,2018,1.1137685464584368,0.922298509317622,0.9311480520548321
62,2018,1.1137685464584368,0.9128071075263776,0.9230654156941024
63,2018,1.0948722096146084,0.8950395583051649,0.9080975959583962
64,2018,1.0948722096146084,0.8865616742463671,0.9009130493369815
65,2018,1.0948722096146084,0.8819121128740635,0.8970214413286863
66,2018,1.001147779529461,0.8054690825495855,0.8335578605263038
67,2018,1.001147779529461,0.8127576142564529,0.8419398601334716
68,2018,1.001147779529461,0.8155473590172396,0.8450830885745217
69,2018,1.001147779529461,0.8155473590172396,0.8450830885745217
70,2018,1.001147779529461,0.8197326839526828,0.8495734230756933
71,2018,1.001147779529461,0.7721852841154104,0.7997306130465963
72,2018,1.001147779529461,0.7868990132907943,0.8176920081489839
73,2018,1.001147779529461,0.734715339553564,0.7546774436674082
74,2018,1.001147779529461,0.7471032537462933,0.7727885489418654
75,2018,1.001147779529461,0.7463795538373784,0.7717408061281821
76,2018,1.001147779529461,0.732825165684364,0.7527316682121111
77,2018,1.001147779529461,0.7453131205924381,0.7700943368216222
78,2018,1.001147779529461,0.739655446195367,0.7623110637073309
79,2018,1.001147779529461,0.7620992471168203,0.7925460664251814
80,2018,1.001147779529461,0.7653469919501964,0.7970364009263532
81,2018,1.001147779529461,0.7457124565062785,0.7706930633144988
82,2018,1.001147779529461,0.758084058135392,0.7874570054311333
83,2018,1.001147779529461,0.7400541293983048,0.7633588065210142
84,2018,1.001147779529461,0.7473050713369332,0.7730879121883036
85,2018,1.001147779529461,0.7416032280658361,0.7656040023204504
86,2018,1.001147779529461,0.75827267678717,0.7870079891103264
87,2018,1.001147779529461,0.7421886636285461,0.7663523818876956
88,2018,1.001147779529461,0.7267222136215792,0.7465948644043795
89,2018,1.001147779529461,0.6836067131087016,0.6921120097020413
90,2018,1.001147779529461,0.6933850376414865,0.706481102944871
91,2018,1.001147779529461,0.6796872216508965,0.6867235854615549
92,2018,1.001147779529461,0.6766464266255643,0.6823829040347519
93,2018,1.001147779529461,0.6433343543705341,0.6365813550883187
94,2018,1.001147779529461,0.6793930622802777,0.6918126464556031
95,2018,1.001147779529461,0.6655153554881091,0.667714447545484
96,2018,1.001147779529461,0.671780969893383,0.6784912960264567
97,2018,1.001147779529461,0.6724924512955549,0.6796886919145088
98,2019,1.001147779529461,0.6827950308605044,0.696602344203213
99,2019,1.001147779529461,0.6878598298481067,0.7048346336383111
100,2019,1.001147779529461,0.6960429764234732,0.7178566208210192
101,2019,1.001147779529461,0.7013974695482161,0.7262386204281871
102,2019,1.001147779529461,0.7136868361063132,0.7450980481721884
103,2019,1.001147779529461,0.7388529865120693,0.7837150504972069
104,2019,1.001147779529461,0.7409992903202479,0.7871576421846953
